epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7149.02,1.81103,1.73671,1.94682,0.62908,0.69282,0.68085,0.38102,1.99546,1.9696,2.34084,0.00089832,0.00089832,0.00089832
43,7318.99,1.80937,1.7521,1.9378,0.7091,0.61889,0.71069,0.40081,2.03224,1.98928,2.36462,0.00089584,0.00089584,0.00089584
44,7489.05,1.79049,1.71439,1.92342,0.62773,0.67286,0.65454,0.36868,2.00009,1.91005,2.34353,0.00089336,0.00089336,0.00089336
45,7658.98,1.79528,1.72435,1.92148,0.6502,0.68998,0.68665,0.38063,2.0021,1.93877,2.37143,0.00089088,0.00089088,0.00089088
46,7828.77,1.77786,1.6888,1.91057,0.65166,0.74762,0.70567,0.39746,1.97235,1.88054,2.31963,0.0008884,0.0008884,0.0008884
47,7998.9,1.76813,1.67113,1.89772,0.65281,0.71075,0.70415,0.39334,1.99077,1.84376,2.32395,0.00088592,0.00088592,0.00088592
48,8168.74,1.77364,1.69337,1.90921,0.67403,0.71681,0.72513,0.40245,1.97675,1.85286,2.30287,0.00088344,0.00088344,0.00088344
49,8338.79,1.75659,1.64587,1.88106,0.6937,0.71009,0.74916,0.43661,1.924,1.86914,2.27068,0.00088096,0.00088096,0.00088096
50,8508.88,1.75364,1.6617,1.90182,0.69134,0.72924,0.7254,0.42069,1.95295,1.83173,2.29475,0.00087848,0.00087848,0.00087848
51,8678.72,1.7285,1.65168,1.87893,0.70051,0.69425,0.73051,0.42689,1.91079,1.80282,2.2583,0.000876,0.000876,0.000876
52,8848.65,1.7321,1.65094,1.88125,0.75142,0.68734,0.73172,0.44899,1.87492,1.79963,2.21757,0.00087352,0.00087352,0.00087352
53,9018.68,1.73716,1.61646,1.88314,0.71877,0.71184,0.73472,0.46447,1.86223,1.79053,2.21319,0.00087104,0.00087104,0.00087104
54,9188.64,1.7249,1.60746,1.84598,0.68398,0.76841,0.71963,0.43773,1.89095,1.75625,2.24977,0.00086856,0.00086856,0.00086856
55,9358.57,1.73237,1.61463,1.87575,0.67018,0.74858,0.73482,0.45137,1.87675,1.74579,2.22974,0.00086608,0.00086608,0.00086608
56,9528.46,1.71702,1.61179,1.85996,0.7638,0.7265,0.75067,0.4567,1.8691,1.74359,2.20235,0.0008636,0.0008636,0.0008636
57,9698.3,1.69878,1.58577,1.84916,0.71167,0.70795,0.74029,0.46359,1.86479,1.67616,2.21495,0.00086112,0.00086112,0.00086112
58,9868.26,1.68868,1.5552,1.83981,0.72433,0.74161,0.76141,0.46012,1.89231,1.78729,2.23597,0.00085864,0.00085864,0.00085864
59,10038.2,1.67765,1.53578,1.82552,0.71477,0.77224,0.76487,0.47231,1.86691,1.7022,2.19448,0.00085616,0.00085616,0.00085616
60,10208.1,1.6847,1.55505,1.82956,0.6953,0.77301,0.77249,0.48733,1.83439,1.69199,2.19352,0.00085368,0.00085368,0.00085368
61,10378.2,1.67707,1.53378,1.82917,0.74257,0.7178,0.75989,0.47363,1.87222,1.7266,2.22797,0.0008512,0.0008512,0.0008512
62,10548.1,1.69545,1.56141,1.8453,0.7407,0.72689,0.76577,0.48371,1.84185,1.69027,2.20535,0.00084872,0.00084872,0.00084872
63,10718.1,1.67182,1.53135,1.82494,0.72216,0.76666,0.76508,0.48695,1.80966,1.67067,2.17119,0.00084624,0.00084624,0.00084624
64,10887.9,1.66947,1.54824,1.82934,0.69335,0.7617,0.76604,0.48727,1.80104,1.65223,2.15557,0.00084376,0.00084376,0.00084376
65,11057.8,1.66123,1.50265,1.80149,0.7291,0.74551,0.76428,0.49591,1.80241,1.64244,2.1578,0.00084128,0.00084128,0.00084128
