epoch,train_loss,train_acc,val_loss,val_acc
1,0.9156576060066538,74.51754547802665,0.7996362185903958,79.15170556552962
2,0.805512992733344,79.36238515183942,0.8005883774587086,79.17414721723519
3,0.7779040115642435,80.60219180104055,0.7821470026459013,79.6903052064632
4,0.7691361087835102,80.8309656470241,0.7725712450487273,80.45332136445242
5,0.7641355374909348,80.97118187520756,0.7406082119260515,81.88958707360862
6,0.7550609950613948,81.14091730932438,0.7522664048842022,81.46319569120287
7,0.7557058249904808,81.17781631674109,0.7532716110348702,81.6427289048474
8,0.7447939693857394,81.55418619239143,0.7481765387313707,81.01436265709157
9,0.7493069331648781,81.46562857459135,0.7463807819145066,80.8572710951526
10,0.7152654975476767,82.80137264307591,0.7206892171076366,82.33842010771993
11,0.7082681636179774,82.84565145197594,0.7180257782340049,82.31597845601436
12,0.7065972349438222,82.84196155123428,0.7169045863406999,82.2262118491921
13,0.7051387257530951,82.96003837496771,0.7184316979987281,82.18132854578097
14,0.7039042697183638,82.93420906977602,0.7134497406227248,82.42818671454219
15,0.7041444455437283,82.86779085642596,0.7148183741739818,82.27109515260324
16,0.7027681818256131,82.91575956606768,0.7146460880126272,82.15888689407541
17,0.7013133938436384,82.89731006235932,0.7135200956038066,82.15888689407541
18,0.7010299012399198,82.82351204752592,0.7139770439692906,82.15888689407541
19,0.697181238263951,83.18881222095126,0.7100070655345917,82.15888689407541
20,0.6975911410246154,83.11501420611785,0.7111024362700326,82.27109515260324
21,0.6966196427379054,83.16298291575957,0.7114329357232366,82.27109515260324
22,0.6960202848897211,83.2220213276263,0.7121366228376116,82.11400359066427
23,0.6950031649475256,83.27736983875134,0.7117100168551718,82.20377019748653
24,0.6953313826388705,83.11870410685952,0.7114218967301505,82.24865350089766
25,0.6953492566432975,83.24416073207631,0.711182489991188,82.24865350089766
26,0.6956987371833153,83.13715361056788,0.7111851076994623,82.24865350089766
27,0.695013284894342,83.18512232020959,0.7111763398562159,82.24865350089766
28,0.6954596854719952,83.12608390834286,0.7111694587128503,82.24865350089766
29,0.6948493075201897,83.22940112910963,0.711173617201192,82.24865350089766
30,0.6951796004665222,83.12608390834286,0.7111769520810672,82.24865350089766
